merged_id	gene_id	merge_type	similarity_score	num_samples	sample_ids	source_transcript_ids	per_sample_merge_type	per_sample_similarity	num_junctions	junction_coords	junction_known_status	per_junction_sample_support	anchor_junctions	per_junction_max_coord_diff	splice_sites	tss_coord	tes_coord	tss_source	tes_source	tss_diff_range	tes_diff_range	truncation_5_count	truncation_3_count	truncation_5_ratio	truncation_3_ratio	missing_junctions_5	missing_junctions_3	freq_score	ref_match_type	ref_gene_id	ref_transcript_id	strand_status
NOVEL_G1.1	ENSMUSG00000000001	exact_match	1.0000	2	brain_rep1,ESC_rep1	brain_rep1:ENSMUST00000000001,ESC_rep1:ENSMUST00000000001.esc	brain_rep1:exact_match,ESC_rep1:exact_match	brain_rep1:1.0000,ESC_rep1:1.0000	4	1200-1500,1800-2000,2300-2600,3000-3200	novel,novel,novel,novel	j0:brain_rep1:ESC_rep1,j1:brain_rep1:ESC_rep1,j2:brain_rep1:ESC_rep1,j3:brain_rep1:ESC_rep1	anchor,anchor,anchor,anchor	j0:0bp,j1:0bp,j2:0bp,j3:0bp	NA,NA,NA,NA	1000	5000	brain_rep1	brain_rep1	0-0bp	0-0bp	0	0	0.0000	0.0000	NA	NA	0.6667	full_match	ENSMUSG00000000001	ENSMUST00000000001	known
NOVEL_G2.1	ENSMUSG00000000002	exact_match	1.0000	2	brain_rep1,ESC_rep1	brain_rep1:ENSMUST00000000002,ESC_rep1:ENSMUST00000000002.esc	brain_rep1:exact_match,ESC_rep1:exact_match	brain_rep1:1.0000,ESC_rep1:1.0000	3	6300-6600,6900-7200,7600-7900	novel,novel,novel	j0:brain_rep1:ESC_rep1,j1:brain_rep1:ESC_rep1,j2:brain_rep1:ESC_rep1	anchor,anchor,anchor	j0:0bp,j1:0bp,j2:0bp	NA,NA,NA	6000	9500	brain_rep1	brain_rep1	0-0bp	0-0bp	0	0	0.0000	0.0000	NA	NA	0.6667	full_match	ENSMUSG00000000002	ENSMUST00000000002	known
NOVEL_G1.1	ENSMUSG00000000003	exact_match	1.0000	2	brain_rep1,ESC_rep1	brain_rep1:ENSMUST00000000003,ESC_rep1:ENSMUST00000000003.esc	brain_rep1:exact_match,ESC_rep1:exact_match	brain_rep1:1.0000,ESC_rep1:1.0000	2	13000-11700,12100-11000	novel,novel	j0:brain_rep1:ESC_rep1,j1:brain_rep1:ESC_rep1	variable,variable	j0:1600bp,j1:1400bp	NA,NA	13000	11000	brain_rep1	brain_rep1	0-0bp	0-0bp	0	0	0.0000	0.0000	NA	NA	0.6667	gene_match	ENSMUSG00000000003	NA	known
NOVEL_G3.1	ENSMUSG00000000001	exact_match	1.0000	1	liver_rep1	liver_rep1:ENSMUST00000000001.liver	liver_rep1:exact_match	liver_rep1:1.0000	3	1800-2000,2300-2600,3000-3200	novel,novel,novel	j0:liver_rep1,j1:liver_rep1,j2:liver_rep1	anchor,anchor,anchor	j0:0bp,j1:0bp,j2:0bp	NA,NA,NA	1500	5000	liver_rep1	liver_rep1	0-0bp	0-0bp	0	0	0.0000	0.0000	NA	NA	0.3333	junction_match	ENSMUSG00000000001	ENSMUST00000000001	known
NOVEL_G4.1	ENSMUSG00000000002	exact_match	1.0000	1	liver_rep1	liver_rep1:ENSMUST00000000002.liver	liver_rep1:exact_match	liver_rep1:1.0000	3	6300-6600,6900-7200,7601-7900	novel,novel,novel	j0:liver_rep1,j1:liver_rep1,j2:liver_rep1	anchor,anchor,anchor	j0:0bp,j1:0bp,j2:0bp	NA,NA,NA	6001	9500	liver_rep1	liver_rep1	0-0bp	0-0bp	0	0	0.0000	0.0000	NA	NA	0.3333	partial_match	ENSMUSG00000000002	ENSMUST00000000002	known
NOVEL_G2.1	ENSMUSG00000000003	exact_match	1.0000	1	liver_rep1	liver_rep1:ENSMUST00000000003.liver	liver_rep1:exact_match	liver_rep1:1.0000	1	12100-11000	novel	j0:liver_rep1	variable	j0:700bp	NA	12100	11000	liver_rep1	liver_rep1	0-0bp	0-0bp	0	0	0.0000	0.0000	NA	NA	0.3333	gene_match	ENSMUSG00000000003	NA	known
NOVEL_G5.1	NOVEL_G4	exact_match	1.0000	1	liver_rep1	liver_rep1:transcript4.chr1.nnic	liver_rep1:exact_match	liver_rep1:1.0000	2	20500-21000,21500-22000	novel,novel	j0:liver_rep1,j1:liver_rep1	anchor,anchor	j0:0bp,j1:0bp	NA,NA	20000	23000	liver_rep1	liver_rep1	0-0bp	0-0bp	0	0	0.0000	0.0000	NA	NA	0.3333	novel	NA	NA	known
NOVEL_G6.1	ENSMUSG00000000001	exact_match	1.0000	1	ESC_rep1	ESC_rep1:transcript5.chr1.nic	ESC_rep1:exact_match	ESC_rep1:1.0000	2	1200-1500,1800-2000	novel,novel	j0:ESC_rep1,j1:ESC_rep1	anchor,anchor	j0:0bp,j1:0bp	NA,NA	1000	3000	ESC_rep1	ESC_rep1	0-0bp	0-0bp	0	0	0.0000	0.0000	NA	NA	0.3333	junction_match	ENSMUSG00000000001	ENSMUST00000000001	known
NOVEL_G7.1	ENSMUSG00000000001	singleton	1.0000	1	liver_rep1	liver_rep1:ENSMUST00000000001.liver	liver_rep1:singleton	liver_rep1:1.0000	3	1800-2000,2300-2600,3000-3200	novel,novel,novel	NA	NA	NA	NA	1500	5000	liver_rep1	liver_rep1	0-0bp	0-0bp	0	0	0.0000	0.0000	NA	NA	0.3333	junction_match	ENSMUSG00000000001	ENSMUST00000000001	known
NOVEL_G8.1	ENSMUSG00000000002	singleton	1.0000	1	liver_rep1	liver_rep1:ENSMUST00000000002.liver	liver_rep1:singleton	liver_rep1:1.0000	3	6300-6600,6900-7200,7601-7900	novel,novel,novel	NA	NA	NA	NA	6001	9500	liver_rep1	liver_rep1	0-0bp	0-0bp	0	0	0.0000	0.0000	NA	NA	0.3333	partial_match	ENSMUSG00000000002	ENSMUST00000000002	known
